book_id,title,review_url
L235,I LOVE YOU THROUGH AND THROUGH,https://www.amazon.com/I-Love-You-Through/product-reviews/0439673631/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L193,"I LOVE YOU, STINKY FACE",https://www.amazon.com/I-Love-You-Stinky-Face/product-reviews/0439635721/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L177,I WANT MY HAT BACK,https://www.amazon.com/I-Want-My-Hat-Back/product-reviews/0763655988/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L216,I WISH YOU MORE,https://www.amazon.com/Wish-You-More-Krouse-Rosenthal/product-reviews/1452126992/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M47,I'M A BIG SISTER,https://www.amazon.com/Im-Big-Sister-Joanna-Cole/product-reviews/0061900621/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L204,IF ANIMALS KISSED GOOD NIGHT,https://www.amazon.com/If-Animals-Kissed-Good-Night/product-reviews/0374300216/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L202,"IF YOU EVER WANT TO BRING A PIANO TO THE BEACH, DON'T!",https://www.amazon.com/Ever-Bring-Piano-Beach-Magnolia/product-reviews/0316376590/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M85,IF YOU GIVE A MOOSE A MUFFIN,https://www.amazon.com/If-You-Give-Moose-Muffin/product-reviews/0060244054/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M42,IF YOU GIVE A MOUSE A COOKIE,https://www.amazon.com/You-Give-Mouse-Cookie-Book/product-reviews/0060245867/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L223,IN THE NIGHT KITCHEN,https://www.amazon.com/Night-Kitchen-Caldecott-Collection/product-reviews/0064434362/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L146,JAMBERRY,https://www.amazon.com/Jamberry-Bruce-Degen/product-reviews/0694006513/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L106,JENNY AND THE CAT CLUB,https://www.amazon.com/Jenny-Cat-Club-Collection-Favorite/product-reviews/1590170474/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L192,JUST ME AND MY DAD,https://www.amazon.com/Just-Me-Dad-Little-Critter/product-reviews/0307118398/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L136,KATY AND THE BIG SNOW,https://www.amazon.com/Katy-Big-Snow-Virginia-Burton/product-reviews/0395185629/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L240,"KINDERGARTEN, HERE I COME!",https://www.amazon.com/Kindergarten-Here-Come-D-J-Steinberg/product-reviews/0448456249/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M63,KNUFFLE BUNNY,https://www.amazon.com/Knuffle-Bunny-Cautionary-Mo-Willems/product-reviews/0786818700/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M64,LADYBUG GIRL AT THE BEACH,https://www.amazon.com/Ladybug-Girl-Beach-David-Soman/product-reviews/0803734166/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L179,LIBRARY LION,https://www.amazon.com/Library-Lion-Michelle-Knudsen/product-reviews/076363784X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M55,LILLY'S PURPLE PLASTIC PURSE,https://www.amazon.com/Lillys-Purple-Plastic-Purse-Henkes/product-reviews/0688128971/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,https://www.amazon.com/Jesse-Bear-What-Will-Wear/product-reviews/0689809301/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L221,LITTLE BLUE TRUCK,https://www.amazon.com/Little-Blue-Truck-board-book/product-reviews/0544568036/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M41,LITTLE BLUE TRUCK LEADS THE WAY,https://www.amazon.com/Little-Blue-Truck-Leads-board/product-reviews/0544568052/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L237,LITTLE OWL'S NIGHT,https://www.amazon.com/Little-Owls-Night-Divya-Srinivasan/product-reviews/0670015792/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M70,LLAMA LLAMA HOME WITH MAMA,https://www.amazon.com/Llama-Home-Mama-Anna-Dewdney/product-reviews/0670012327/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L147,LLAMA LLAMA NIGHTY-NIGHT,https://www.amazon.com/Llama-Nighty-Night-Anna-Dewdney/product-reviews/0670013277/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M56,LLAMA LLAMA RED PAJAMA,https://www.amazon.com/Llama-Red-Pajama-Anna-Dewdney/product-reviews/0670059838/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L256,LON PO PO: A RED RIDING HOOD STORY FROM CHINA,https://www.amazon.com/Lon-Po-Red-Riding-Story-China/product-reviews/0698113829/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L171,LOST AND FOUND,https://www.amazon.com/Lost-Found-Oliver-Jeffers/product-reviews/0399245030/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M8,LOVE YOU FOREVER,https://www.amazon.com/Love-You-Forever-Robert-Munsch/product-reviews/0920668372/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M17,MADELINE,https://www.amazon.com/Madeline-Ludwig-Bemelmans/product-reviews/0670445800/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M68,MAISY GOES CAMPING,https://www.amazon.com/Maisy-Goes-Camping-First-Experience/product-reviews/0763643688/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M57,MAISY GOES TO THE LIBRARY,https://www.amazon.com/Maisy-Goes-Library-First-Experience/product-reviews/0763643718/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M18,MAKE WAY FOR DUCKLINGS,https://www.amazon.com/Make-Way-Ducklings-75th-Anniversary/product-reviews/1101997958/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L169,MAMA DON'T ALLOW,https://www.amazon.com/Mama-Dont-Allow-Thacher-Hurd/product-reviews/0064430782/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
