run,subj_id,question_name,response_str
run1,P48,age,41
run1,P49,age,37
run1,P50,age,28
run1,P51,age,22
run1,P52,age,47
run1,P53,age,22
run1,P54,age,32
run1,P55,age,41
run1,P56,age,35
run1,P57,age,28
run1,P58,age,21
run1,P59,age,29
run1,P60,age,36
run1,P61,age,34
run1,P62,age,37
run1,P63,age,34
run1,P64,age,26
run1,P65,age,27
run1,P66,age,59
run1,P67,age,46
run1,P68,age,34
run1,P69,age,31
run1,P70,age,28
run1,P71,age,51
run1,P72,age,30
run1,P73,age,59
run1,P74,age,63
run1,P75,age,34
run1,P76,age,28
run1,P77,age,30
run1,P78,age,30
run1,P79,age,34
run1,P80,age,43
run1,P81,age,39
run1,P82,age,40
run1,P83,age,36
run1,P84,age,26
run1,P85,age,35
run1,P86,age,47
run1,P87,age,34
run1,P88,age,19
run1,P89,age,35
run1,P90,age,32
run1,P91,age,32
run1,P92,age,29
run1,P93,age,26
run1,P94,age,39
run1,P95,age,36
run1,P96,age,28
run1,P97,age,30
run1,P98,age,32
run1,P99,age,26
run1,P100,age,28
run1,P101,age,26
run1,P102,age,34
run1,P103,age,35
run1,P104,age,46
run1,P105,age,40
run1,P106,age,33
run1,P107,age,39
run1,P108,age,25
run1,P109,age,37
run1,P110,age,28
run1,P111,age,25
run1,P112,age,52
run1,P113,age,30
run1,P114,age,23
run1,P115,age,53
run1,P116,age,34
run1,P117,age,28
run1,P118,age,32
run1,P119,age,28
run1,P120,age,24
run1,P121,age,33
run1,P122,age,58
run1,P123,age,29
run1,P124,age,25
run1,P125,age,49
run1,P126,age,35
run1,P127,age,40
run1,P128,age,20
run1,P129,age,38
run1,P130,age,29
run1,P131,age,47
run1,P132,age,42
run1,P133,age,49
run1,P134,age,21
run1,P135,age,22
run1,P136,age,49
run1,P137,age,44
run1,P138,age,60
run1,P139,age,35
run1,P140,age,35
run1,P141,age,51
run1,P142,age,31
run1,P143,age,23
run1,P144,age,63
run1,P145,age,29
run1,P146,age,49
run1,P147,age,55
run1,P148,age,32
run1,P149,age,39
run1,P150,age,36
run1,P151,age,50
run1,P152,age,33
run1,P153,age,47
run1,P154,age,63
run1,P155,age,42
run1,P156,age,47
run1,P157,age,29
run1,P158,age,45
run1,P159,age,42
run1,P160,age,32
run1,P161,age,28
run1,P162,age,25
run1,P163,age,38
run1,P164,age,27
run2,P165,gender,female
run2,P166,gender,male
run2,P167,gender,male
run2,P168,gender,male
run2,P169,gender,female
run2,P170,gender,female
run2,P171,gender,female
run2,P172,gender,female
run2,P173,gender,female
run2,P174,gender,male
run2,P175,gender,female
run2,P176,gender,female
run2,P177,gender,male
run2,P178,gender,female
run2,P179,gender,female
run2,P180,gender,male
run2,P181,gender,male
run2,P182,gender,male
run2,P183,gender,male
run2,P184,gender,male
run2,P185,gender,female
run2,P186,gender,male
run2,P187,gender,female
run2,P188,gender,male
run2,P189,gender,male
run2,P190,gender,female
run2,P191,gender,male
run2,P192,gender,male
run2,P193,gender,female
run2,P194,gender,male
run2,P195,gender,male
run2,P196,gender,female
run2,P197,gender,female
run2,P198,gender,male
run2,P199,gender,male
run2,P200,gender,female
run2,P201,gender,other
run2,P202,gender,male
run2,P203,gender,female
run2,P204,gender,male
run2,P205,gender,female
run2,P206,gender,male
run2,P207,gender,female
run2,P208,gender,female
run2,P209,gender,female
run2,P210,gender,male
run2,P211,gender,female
run2,P212,gender,female
run2,P213,gender,male
run2,P214,gender,female
run2,P215,gender,male
run2,P216,gender,male
run2,P217,gender,female
run2,P218,gender,female
run2,P219,gender,male
run2,P220,gender,female
run2,P221,gender,male
run2,P222,gender,male
run2,P223,gender,male
run2,P224,gender,female
run2,P225,gender,male
run2,P226,gender,male
run2,P227,gender,male
run2,P228,gender,male
run2,P229,gender,male
run2,P230,gender,female
run2,P231,gender,female
run2,P232,gender,female
